Explicit Track,Year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,log_avg_monthly_streams,Solo/Group,Recent Momentum,TikTok Posts,TikTok Views,Spotify Followers,Spotify Monthly Listeners,Spotify Conversion Rate,Apple Music Playlist Count,Instagram Followers,13_17,18_24,25_34,35_44,45_64,65_,F,M,genre_Deathcore,genre_Goregrind,genre_Death Metal,genre_Progressive Rock,genre_Progressive Metal,genre_Brutal Death Metal,genre_Rock,genre_Metal,genre_Metalcore,genre_US Metal,genre_Hardcore,genre_Beatdown,genre_Djent,genre_Melodic Metalcore,genre_Symphonic Deathcore,genre_Dance,genre_Melodic Hardcore,genre_Blackened Deathcore,genre_Alternative Rock,genre_Alternative,genre_other,country_group
0,2015,0.000244,0.517,0.887,0.0024,0.151,-7.637,0.0732,166.018,0.536,10,0,13.46017762847289,Group,Steady,30037.0,31622156.0,1749330.0,1820401.0,0.960959,109.0,719819.0,0.023,0.285,0.49,0.161,0.040999999999999995,,0.23,0.77,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,US
0,2025,0.00311,0.408,0.752,4.96e-05,0.147,-4.091,0.0428,126.838,0.104,4,0,11.776950159496401,Group,Steady,14274.0,9935865.0,283642.0,529030.0,0.536155,16.0,108810.0,0.02,0.24,0.483,0.198,0.059000000000000004,,0.158,0.8420000000000001,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
0,2014,0.00661,0.546,0.92,3.13e-06,0.904,-4.83,0.0592,95.996,0.265,5,0,13.650908450322206,Group,Steady,179781.0,525298505.0,2522283.0,3274744.0,0.770223,54.0,903260.0,0.034,0.32799999999999996,0.4,0.171,0.067,0.0,0.235,0.765,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Other
1,2025,6.83e-05,0.553,0.934,0.65,0.413,-3.068,0.0688,94.983,0.476,1,1,12.225608315830021,Group,Slowing,63457.0,164702230.0,1101026.0,1334935.0,0.824779,27.0,1047848.0,0.034,0.336,0.46399999999999997,0.139,0.026000000000000002,0.0,0.19,0.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,US
0,2025,1.18e-05,0.238,0.979,0.0943,0.048,-6.428,0.128,92.68,0.203,7,1,12.134341742690488,Group,Steady,34201.0,30827211.0,1163322.0,979667.0,1.187467,79.0,758219.0,0.022000000000000002,0.248,0.451,0.214,0.066,0.0,0.271,0.7290000000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Other
0,2023,0.000689,0.523,0.803,0.00354,0.165,-6.363,0.0583,139.949,0.137,2,1,13.646271912687197,Group,Growth,2147.0,3355229.0,242050.0,653727.0,0.370262,23.0,143608.0,0.032,0.303,0.49200000000000005,0.142,0.032,,0.24100000000000002,0.759,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US
1,2019,0.000347,0.214,0.969,0.249,0.138,-3.924,0.106,159.949,0.0369,11,1,13.89002787181024,Group,Slowing,1255069.0,3547520845.0,14910723.0,15824330.0,0.942266,293.0,8969414.0,0.036000000000000004,0.342,0.43799999999999994,0.14400000000000002,0.040999999999999995,0.0,0.314,0.6859999999999999,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,US
0,2010,1.16e-05,0.549,0.969,0.105,0.104,-2.763,0.049,101.055,0.346,1,1,13.435476463160628,Group,Slowing,10878257.0,5757084278.0,7894974.0,17715005.0,0.445666,267.0,2634202.0,0.026000000000000002,0.287,0.415,0.187,0.084,0.0,0.37799999999999995,0.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,US
0,2022,0.000166,0.29,0.799,0.894,0.594,-4.361,0.0679,125.021,0.0351,1,0,13.899809177144261,Group,Steady,63478.0,221003527.0,962314.0,1089058.0,0.883621,24.0,612682.0,0.027000000000000003,0.336,0.47700000000000004,0.131,0.028999999999999998,0.0,0.22699999999999998,0.773,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,US
0,2017,2.59e-05,0.523,0.979,2.685e-05,0.153,-4.214,0.16,125.0395,0.18,2,1,13.658830604123583,Group,Steady,34561.0,135618705.0,1312880.0,2757567.0,0.476101,127.0,748469.0,0.024,0.321,0.494,0.136,0.025,0.0,0.297,0.703,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Other
